Unnamed: 0,x_i,x_j,Label
3560,chief hobbs is n't about to throw kids,off their feet.,GPT2
3561,"i should know , i visited them a",few times and they were all very nice.,GPT2
3562,"an icy shiver ran through angel in reaction ,","and the angel's face was filled with fear and fear , and the angel's face was filled with fear and fear ,",GPT2
3563,"his lips tightened , but he did n't",say anything.,GPT2
3564,did anyone else come to stay,"with me?""""I'm not going to stay with you,"" she said.",GPT2
3565,"she smoothed her hand over his head ,","""I'm sorry, but I'm not going to be able to do this anymore.",GPT2
3566,"apart from that ,","and then he went to the house of the Lord, and said unto him,",GPT2
3567, is she also ''  my,"mother, and I am her mother,",GPT2
3568,"he took her hand , forced it under","her chin , and said, ""I will not let you go, for I am not a man of the world.",GPT2
3569,the thought of doing all that in my,"life, and I'm not going to do it anymore.",GPT2
3570,my parents might not have given a crap about me,". I'm not a bad person,",GPT2
3571,it did n't matter that he 'd,be a man of God.,GPT2
3572,"for the class , now that joshua had","been able to use the class as a base class, he could use it as a base class for the class.",GPT2
3573,"but with you , your blood acts as",a catalyst for the healing of your body.,GPT2
3574,i 'd just always believed it,was a good idea to have a child with a partner who was a good person.,GPT2
3575," you take him , julia , ''",and the rest of the team.,GPT2
3576,the investigating officers who are tracing the car that struck,"the woman, who was driving a white Ford Fusion, were not allowed to leave the scene.",GPT2
3577, i meant more ... what,I mean is that I'm not going to be able to do that.,GPT2
3578,'we have n't actually called in,"to do this, but we're going to do it.",GPT2
3579,a convoy all of six vehicles strong has,been destroyed.,GPT2
3580,today we broke from the norm,. We were able to get a lot of people to come to our show and we were able to get a lot of people to come to our show and we were able to get a lot of people to come to our,GPT2
3581, what 's the,point of this?I think it's important to understand that the 's' in the word 's' are not the same thing as the 's' in the word 's'.,GPT2
3582,a head of golden hair fell from one,of the trees.,GPT2
3583, do you always get,the same thing?I think it's a little bit of a mystery.,GPT2
3584,"it only lasted for a second , but",it was a good one.,GPT2
3585,dig up a tasseled shawl or strip of,"fabric, and then wrap it around the tassel.",GPT2
3586, aside from finding a way to haul,the ball out of the ground.,GPT2
3587, i will try it alone if you,want to.,GPT2
3588,but i want you to know,that i am not going to be a part of this.,GPT2
3589,he lifted his head up to see to,his own surprise that the man was not a man of the people.,GPT2
3590,or a cup of milk or even a,small amount of water.,GPT2
3591,"jake asked , as he ran his fingers",through his hair.,GPT2
3592, you just named the director,of the project.,GPT2
3593,john glanced past her to the scorched mark,on the wall.,GPT2
3594, would you rather,have a man who is a man of God and a man of God and a man of God and a man of God and a man of God and a man of God and a man of God and a man of God and a man,GPT2
3595,an older women with dyed reddish hair sat,in the front row.,GPT2
3596, we will see you at,the end of the year.,GPT2
3597,she had the face,of a man who had been shot in the head.,GPT2
3598,i dont think you say,that.,GPT2
3599, what did you take,from the book?I took the book from the beginning.,GPT2
3600, all the good ones are either straight,up or in the middle.,GPT2
3601,"said greenyham , still managing to find",a way to get his hands on a new car.,GPT2
3602,despite the weird urges of my stockholm syndrome-corrupted,brain).,GPT2
3603,i heard the water turn on and,the water was so hot that it was almost impossible to breathe.,GPT2
3604,with the hotel room i,was staying in) and the hotel room i was staying in was a very nice place.,GPT2
3605,the sound of running water downstream grew louder and,louder.,GPT2
3606, a woman like you does n't have,to be a woman to be a woman.,GPT2
3607,he 'd given the jewelry to her the,"day before, and she was so happy to see him.",GPT2
3608,we could hide the,fact that we were in the middle of a war.,GPT2
3609,where my dad was obsessed with my academics,"and my writing, and I was a little bit of a nerd.",GPT2
3610,that 's when she felt,the need to go to the bathroom.,GPT2
3611,the computer screen casts an eerie,shadow over the room.,GPT2
3612,i spotted the three college girls who,were in the car.,GPT2
3613,he 'd gotten decent at the meaningless stuff,' and 'he's got a lot of work to do.,GPT2
3614,i 've seen what,I've seen.,GPT2
3615,i think mr. deronda would like her to have,a little bit of a break.,GPT2
3616,my mother would never have,been able to afford to buy a car.,GPT2
3617,ill write down this incredible story and publish,it in the next issue of the magazine.,GPT2
3618,"will wedding bells ring , or","if you're a little more adventurous, you can use a small piece of paper to write down the date and time of your wedding.",GPT2
3619," if everything goes as planned , '' i corrected",my mistake and i will be back to this post soon.,GPT2
3620,i was used to french engineering with all,the other engineers in the company.,GPT2
3621,"zev said , got your",attention.,GPT2
3622,"okay , her voice came stronger",".""I'm sorry,",GPT2
3623,"foley stood in her open doorway , a candle in","hand , and looked at the two of them.",GPT2
3624,i told her how,"she had been told by her father that she was going to be a ""little girl"" and that she would be ""a little girl"" and that she would be ""a little girl"" and that she would be ""a little",GPT2
3625,getting caught on the topside without a citizenship card,".""I'm not sure if it's a good idea to have a citizenship card,",GPT2
3626,his heart slammed his chest with each painful beat,".""I'm sorry, I'm sorry,",GPT2
3627,the smell of him rose,from the ground.,GPT2
3628,i 'll have to think-i mean-it was very kind,"of you, but I'm not sure I'd be able to do it.",GPT2
3629,"it was kill or be killed , a",man who was killed by a man who was killed by a man who was killed by a man who was killed by a man who was killed by a man who was killed by a man who was killed by a,GPT2
3630,shes my friend and im more sorry than,i am about this.,GPT2
3631,major dempsey had removed his large hat shortly,after the game.,GPT2
3632,the golf course had gotten so busy that,it was almost impossible to get a hold of the course.,GPT2
3633,"he asked , scraping the","surface of the water, ""What do you think of the idea of a water-based diet?""""I think it's a good idea,"" said the man.",GPT2
3634,"i nodded , got up on tiptoe ,",and walked over to the door.,GPT2
3635,"ironically , had they gone , she would",have been dead.,GPT2
3636,"in time , he 'd coaxed her to bite the",back of his hand and pull her back into the bed.,GPT2
3637,give me the names,"of the people who have been killed in the war, and I will send them to the graves of those who have been killed in the war.",GPT2
3638,she asked just as the,door opened.,GPT2
3639," let me explain , '' he offered ,","'' and he said, '' I don't know what you mean by that.",GPT2
3640,julian drew a labored breath,". ""I'm not sure I can do it. I'm not sure I can do it. I'm not sure I can do it. I'm not sure I can do it. I'm not sure",GPT2
3641, many thanks for bringing,this to my attention.,GPT2
3642,he follows that trail now through the air,", and then he's back in the air.",GPT2
3643,the sound of running water alerted him to,"the presence of a large, dark-colored creature.",GPT2
3644,people were beginning to filter,out the rest of the population.,GPT2
3645,he had n't picked up the phone when,he was asked to leave.,GPT2
3646,but well get over,it.,GPT2
3647,"then , to her relief , she spotted",a man in a white shirt and jeans.,GPT2
3648,i think you both can use the,same thing.,GPT2
3649,"helping the situation , stuart and denny were",both in the hospital.,GPT2
3650,"after another ten minutes , the notch cut",off the top of the head.,GPT2
3651, are you taking her,to?I'm taking her to the hospital.,GPT2
3652,it was n't his,fault.,GPT2
3653,i 'd sting you too if you,'re not careful.,GPT2
3654,they bum-rush me and offer up a,few more points.,GPT2
3655,"i knew i 'd feel off-kilter ,",'cause i was so close to him.,GPT2
3656,robert snickered and snuck another look at,the other man.,GPT2
3657,"yeah , that 's not really",a problem.,GPT2
3658,"more importantly , for the first time , he had",a chance to see the world through the eyes of a man who had been born into a family of men.,GPT2
3659,"fuck it , he was gon na chain",him up.,GPT2
3660,dont look at it as were only giving,"up on the idea of a ""real"" world.",GPT2
3661,"and there are always different kids cycling through ,","but I think it's a good idea to have a bike that's not too heavy, and that's a good thing.",GPT2
3662,"as whinnies , grunts and other animal noises",".The first time I saw the video,",GPT2
3663,we have already been viciously,attacked by the police.,GPT2
3664,it was one of those places which remembered,the past.,GPT2
3665," well , we",can't afford to lose our ability to do so.,GPT2
3666,"phoenix glanced away for a second , and",then looked back at the other two.,GPT2
3667,"how horrible , i murmured sarcastically ,","""you're not going to get any better than that!"" )""You're not going to get any better than that!""""You're not going to get any better than that!""",GPT2
3668,he was already so cold that,he couldn't even breathe.,GPT2
3669,i folded my hands on my lap,"and said, ""I'm sorry, but I'm not going to do this.",GPT2
3670, and mom is,a little bit of a bitch.,GPT2
3671," thanks , truly , but",I'm not sure if I'm going to be able to do it.,GPT2
3672,the hross produced an oval platter of some,"sort, and the hross was covered with a thick layer of white.",GPT2
3673,"but this was the hailey case , and",the hailey case was the hailey case .,GPT2
3674,he advised me to marry sita and assured,me that I would be able to do so.,GPT2
3675,"like my drumsticks , no matter what happens",".I'm not sure if I'm going to be able to play this game,",GPT2
3676,i 've never lied to you about my,relationship with you.,GPT2
3677,"she asked if they had seen seth ,","and he said, ""Yes, I saw seth .",GPT2
3678,he had never been this,close to the White House.,GPT2
3679, do you think your man will give,you a chance to prove yourself?I think he will.,GPT2
3680,he looked at me with understanding in his bloodshot eyes,". ""I'm sorry,",GPT2
3681,"he also knew that , despite her reluctant","support, she was still a strong supporter of the government.",GPT2
3682,"then i whispered back ,","""You're not going to be able to get a job if you don't get a job.",GPT2
3683,after she 'd left the room,' and 'she was crying' and 'she was crying' and 'she was crying' and 'she was crying' and 'she was crying' and 'she was crying' and 'she was crying',GPT2
3684,they 'll ask you to leak information from,"the FBI to the media,' "" he said.",GPT2
3685,sacha gave up his tee shirt to pip,up his tee shirt.,GPT2
3686,and leading it by at least a,few points.,GPT2
3687,i placed my hands on the,"back of his head and said, ""I'm sorry, but I'm not going to let you go.",GPT2
3688,i turn away from her and begin,to walk away.,GPT2
3689,he continued to glower at the,young man.,GPT2
3690, i ken what ye feel for tom christie-and,-her-sons-and-her-sons-and-her-sons-and-her-sons-and-her-sons-and-her-,GPT2
3691,randal looked at me as,if I was a child.,GPT2
3692,and maybe god had left this battered '70 plymouth,"in the woods, but I don't know.",GPT2
3693,"i settled back on the couch , but",I was still able to get my hands on some of the other stuff I needed to do.,GPT2
3694,"i turned to aidan , do we",have to go back to the beginning of the story?The answer is yes.,GPT2
3695, i be hangin ' with laneesha,"?I'm not sure if you're aware of this, but I'm not sure if you're aware of this,",GPT2
3696," guys , this is butch ,","and I'm not going to lie, I'm not going to lie.",GPT2
3697," no , '' i said",", '' ,",GPT2
3698,kat 's head whipped around,and his face was covered in blood.,GPT2
3699,"when i left terra , i realized",that i was not going to be able to do anything with my life.,GPT2
3700,they were piled with old textbooks from high,"school, and they were all in the same class.",GPT2
3701,"however , she concluded that it wasnt","possible to have a ""real"" relationship with a woman who was not a virgin.",GPT2
3702," go on , '' she encouraged , scooping",up the phone.,GPT2
3703,as if she knew i would n't tutor,",",GPT2
3704,this morning betty joined allan,and she was a little bit worried about her sister.,GPT2
3705, if incentive is a euphemism for sex,", it's not a problem.",GPT2
3706,that 's not how this is,"supposed to work,' and that 's not how this is supposed to work,",GPT2
3707,piece by piece i,".e. the whole thing is a piece of paper.The first thing you need to do is to create a new file called ""my_file.txt"". This file is a file that contains the contents of the",GPT2
3708,"in that moat vast sea creatures swam ,",and the sea creatures swam in the sea.,GPT2
3709,i even think i know,what i'm talking about.,GPT2
3710,i sit up excitedly in the,middle of the room.,GPT2
3711,i hope she left me enough change in the,world to make me happy.,GPT2
3712,his eyes popped open on instinct and darkness filled,the room.,GPT2
3713,but i 'll do that even if,i'm not a fan of the game.,GPT2
3714,the dinner i picked was a specialty of,mine.,GPT2
3715, you 're feeling it,' and 'I'm feeling it' and 'I'm feeling it' and 'I'm feeling it' and 'I'm feeling it' and 'I'm feeling it' and 'I'm feeling it' and ',GPT2
3716,people who live in chicago are fully aware,of the fact that the city is a very diverse city.,GPT2
3717,it was tempting to sneak out and save,the day.,GPT2
3718,"mikhail , fen and dimitri moved closer ,",and the two were able to reach the same place.,GPT2
3719," yeah , you should",be able to do that.,GPT2
3720,"turned him rabid , just",like he did in the first game.,GPT2
3721,"and , oh , i","'m so sorry, i'm so sorry,",GPT2
3722,"the strange , cold-eyed soldier was apparently back ,",but he was still alive.,GPT2
3723,the word custodian was written in gold capitals across it,.The word custodian was written in gold capitals across it. The word custodian was written in the same letter as the word custodian.The word custodian was written,GPT2
3724," nah , man , i",'m not going to let you down.,GPT2
3725,i 've lived my life under my father 's,roof.,GPT2
3726,he shouted loudly enough for the,other to hear.,GPT2
3727,"helford smiled at her , and replied , i am",not sure if i am right or not.,GPT2
3728,he said it with more,confidence.,GPT2
3729,i sighed as he ran his nose,through his hair.,GPT2
3730,i ca n't make,a mistake.,GPT2
3731,i said i would chaucer lunged into one last,time.,GPT2
3732,"a few seconds later ,",the camera was still on the ground.,GPT2
3733,"iona started to answer , and eric all",the way back to the beginning of the game.,GPT2
3734,then heaving the lit gourd high up over,his head.,GPT2
3735,"he was holding something rectangular , and it",was a small piece of paper.,GPT2
3736, i suppose you 've been to those places,", and you've seen the people there,",GPT2
3737,if anyone opens the back door while the,"police are on the scene, they will be arrested.",GPT2
3738,"if something happens , peter , you and",your friends will be able to see it.,GPT2
3739,"even now , despite her watchfulness , she",is still a little bit worried about her own safety.,GPT2
3740,reuben and gabriel are searching,for the missing girl.,GPT2
3741,"kira mindlessly bit her lip , hiding the",fact that she was still in the hospital.,GPT2
3742,her mind would only cause her problems and ask,her to do something else.,GPT2
3743,her heart seemed to,be in a state of flux.,GPT2
3744,the skepticism in his voice makes,him sound like a man who has no idea what he's talking about.,GPT2
3745,i headed the team that,won the World Cup in 2010.,GPT2
3746,but ben did n't have time to ask anyone,else.,GPT2
3747,"i pour myself a cup , then pour","myself a cup of tea , then pour myself a cup of coffee ,",GPT2
3748,ike advised him on what would be,the best way to get the job done.,GPT2
3749,i certainly did n't want any puppies,".""I'm not going to let you get any puppies,",GPT2
3750,everything is still up in the,air.,GPT2
3751,"that might be , fenric","o, or ,",GPT2
3752,"its about sophia , i said , and","he said , "" I will not be able to do that .",GPT2
3753,thorn arched one perfect brow into the most,"beautiful, and the other one in the most beautiful, and the other one in the most beautiful.",GPT2
3754,it was just that missile was so big,and so powerful that it could not be fired.,GPT2
3755,i could swear i saw storm clouds around,the place.,GPT2
3756," well , '' matthias murmured , ","and then he turned to the other man, and said, '' I am sorry, but I am not sure what to do.",GPT2
3757,he wore a camouflaged t-shirt with the sleeves,rolled up and a black hoodie.,GPT2
3758,"leaving , the banker closed the door behind him",".""I'm sorry, but I'm not going to be able to do this,",GPT2
3759,"'i repeat , ' she added quietly","' , ' she added quietly ' ,",GPT2
3760,he was going to save her parents when,she was shot.,GPT2
3761,"i mean , i 've loved someone ,","i 've loved them , i 've loved them ,",GPT2
3762,she takes in a deep breath,and looks up at the sky.,GPT2
3763, you tell me,"what you think of the new book, I'll tell you what I think of it.",GPT2
3764,he had to learn,to read.,GPT2
3765,"no matter how good it is , its",not going to be a good thing for you.,GPT2
3766,"make the vamp-who-thinks-he's-a-human guy keep talking , so",I'm not sure if he's a human or not.,GPT2
3767,he had grown up in massachusetts but went to,college in New York City.,GPT2
3768, and i 'm sure you,'re not going to be able to do that.,GPT2
3769,i 'm not going to be able to keep my,"job, I'm going to have to go to the hospital.",GPT2
3770,no more than he could head for the,door.,GPT2
3771,the word funeral makes me sad,. I'm not sure if I'm going to be able to do it. I'm not sure if I'm going to be able to do it. I'm not sure if I'm going to be able to do,GPT2
3772,i am in no,way affiliated with any of the organizations mentioned above.,GPT2
3773,"delgado had friends in the fbi , but",they were not interested in the project.,GPT2
3774,so the predictable thing happened : one day,", I was in a bar with a bunch of guys and I was talking to a guy who was a bartender and he said,",GPT2
3775,he came over to the kitchen to shake,hands with her.,GPT2
3776,"pia , honey , my name is maggie",", I am a little girl ,",GPT2
3777,i just had a,few more minutes to think about it.,GPT2
3778," listen , kate-i do n't care",", kate-i do n't care,",GPT2
3779, i was lucky to,be able to get a job at a local restaurant.,GPT2
3780,rumor has it hector 's giving,up his life to save the world.,GPT2
3781,i just thank the gods,for the help.,GPT2
3782,she 's one of the prettiest,women in the world.,GPT2
3783,"weightlessness surrounded them , knocking",them out of their comfort zone.,GPT2
3784,"if gma is suddenly hot to trot ,","and you're not sure if you're going to be able to get it to work, you can try to get it to work by running the command gma -f .",GPT2
3785,"from this point on , i want every",single one of them to be a good thing.,GPT2
3786,"when his body temperature dropped slightly , he",was able to get up and walk.,GPT2
3787,"the book-thing twists its long , sinuous body right",into a tangle of tangled knots.,GPT2
3788,'boromir was satisfied of that,".""I'm not sure what the problem is,",GPT2
3789,the sight at the end of the barrel,"of the gun, and the sight at the end of the barrel of the gun,",GPT2
3790,guess i get the shower,", but i'm not sure if it's because i'm too lazy or if i'm too lazy to get the shower.",GPT2
3791,"as he sank deeper , rhys moaned and bit",his lip.,GPT2
3792,"sixteen the next morning ,",and I was in the middle of the night.,GPT2
3793,she slid an arm under his chest,and pulled him back into the chair.,GPT2
3794,"so lets discuss question number one. ,",the question is:What is the most important thing you want to do in your life?The most important thing you want to do in your life is to be happy.,GPT2
3795,the old man said releasing,the man was a good idea.,GPT2
3796,the coroner and my chief super do n't,know what to do with me.,GPT2
3797,you may make moon boy your,own.,GPT2
3798,blue tried her best to keep the excited smile,"on her face, but she couldn't help but smile back at her.",GPT2
3799,"for each of their kind , their","own, and their own children.",GPT2
3800,"nonetheless , contact with iron of any sort",is not a problem.,GPT2
3801,adam was placed on a trolley,and taken to the hospital.,GPT2
3802,then bercelak was dragging her from the room,".""I'm sorry, I'm sorry,",GPT2
3803, you know i 've always thought he,was a good guy.,GPT2
3804,"alex glances out at the ocean , his",eyes wide with excitement.,GPT2
3805,no more than twenty minutes passed and the,two of them were still in the room.,GPT2
3806,i feel my cheeks grow,red.,GPT2
3807,the excalibur is under way,in the city of Kolkata.,GPT2
3808,"after awhile , i gave up",on it and just started playing with it.,GPT2
3809,i shoved the heavy canister into my pack,".""I'm going to have to get out of here,"" I said.""I'm going to have to get out of here,",GPT2
3810,it reminded me so much of the reaction,I got when I first saw the movie.,GPT2
3811,i decided that maybe id go out and,buy a new car.,GPT2
3812,joel pushed the white-hot flame,"out of the fire, and the flames were extinguished.",GPT2
3813,i ran my hand through my,"hair, and I felt my hair grow back.",GPT2
3814,for the first time in ages,".""I'm not sure if it's a coincidence or not, but I'm not sure if it's a coincidence,",GPT2
3815," yes , '' dad says , and","then he says, ''I'm sorry,",GPT2
3816,"which i knew , from thanksgiving , but",i didn't know how to do it )I was so excited to see how much I could do with this project.,GPT2
3817,i know youre a good woman and,you're a good person.,GPT2
3818," oh , shut up",and get out of here.,GPT2
3819,i dont expect much other than having the,same amount of money.,GPT2
3820,she had a stack of papers on the,table.,GPT2
3821,threats were not something he,had ever done before.,GPT2
3822,"he kisses me , but then pulls his mouth",away from mine and kisses me again .,GPT2
3823,michael waited until the table had been cleared,to leave.,GPT2
3824,"keep the light steady and straight , and",then turn the light on and off.,GPT2
3825,sometimes i think i went into the fbi,"with a lot of money and i was like ""oh my god i'm going to be a millionaire"" and i was like ""oh my god i'm going to be a millionaire"" and i was like",GPT2
3826,he heard the hiss of,"the crowd, and he was taken to the hospital.",GPT2
3827, then what is it that,makes you want to do this?I'm not sure.,GPT2
3828,"when i have had to , i have never","had to , i have never had to ,",GPT2
3829,at oxcross and the whispering wood and in,"the dark, and the dark and the dark,",GPT2
3830,"and school , as for school , school",", school ,",GPT2
3831,"the trail , if the intruder had","been able to get out of the car, he would have been able to get out of the car.",GPT2
3832,"oh god , mark , tell",", tell ,",GPT2
3833,id like to know what hes,doing.,GPT2
3834,"now that i knew jude was alive ,",i was so scared i was scared i was scared i was scared i was scared i was scared i was scared i was scared i was scared i was scared i was scared i was scared i was scared i,GPT2
3835,"as if kissing her were the end-all ,",and I'm not sure if it's a good idea to do that.,GPT2
3836,i looked out over the sea of,"the sea, and saw the sun rising,",GPT2
3837,i stared at him blankly until i saw,his face.,GPT2
3838,ho stopped noar the,way to the door.,GPT2
3839, what were you guys,doing?I was doing a lot of stuff.,GPT2
3840,"* * * looking back , i guess i",should have said something more.,GPT2
3841,let her talk and unwind all the tangled,threads of her life.,GPT2
3842,i felt bad for him,".""I'm sorry, but I'm not going to be able to do this anymore,",GPT2
3843,he held up a hand,". ""I'm sorry, but I'm not going to be able to do this.""""I'm sorry,",GPT2
3844,every day that went by that did n't reveal,anything about the story.,GPT2
3845,"she kept us in constant agony , wondering",what would happen if we were to die.,GPT2
3846,they assumed they would stand still,and wait for the police to arrive.,GPT2
3847,mechanical movements governed my body while i thought about,it.,GPT2
3848,maybe if we 'd had a better idea,"of what we were doing, we'd have done it sooner.",GPT2
3849," well , it took a while ,",but it was finally done.,GPT2
3850,his grim smile softened to concern as he,looked at the man.,GPT2
3851,"well- '' she shrugged , tossing her fair",share of the blame on the other party.,GPT2
3852,"sasha was gorgeous , tall and thin and",she was a very beautiful girl.,GPT2
3853,i blush and stare,at her.,GPT2
3854, they 're not a warring,"nation, but a nation of people who are united in their love of the Lord.",GPT2
3855,she mustve been going,"to the hospital, but she was not.",GPT2
3856,it did n't stop the proliferation of conventional,weapons.,GPT2
3857,yet he was still unable to move or consider,the possibility of a return to the club.,GPT2
3858,there would be no,need for a separate system for the whole of the country.,GPT2
3859,"his soft , full lips parted , and","her eyes were closed , and she was like a child in a dream ,",GPT2
3860,that pain grew until i wanted to scream,. i was so scared i cried. i was so scared i cried. i was so scared i cried. i was so scared i cried. i was so scared i cried. i was so scared i cried,GPT2
3861, but i still get,a lot of questions about the game.,GPT2
3862,"well yes , um ,",I'm not sure if I'm going to be able to do that.,GPT2
3863,i had expected that he would react to,"the news of the death of his wife, but he was not.",GPT2
3864,the disguise will help her get through the,"day, but she'll also be able to get through the night.",GPT2
3865,just- '' his tongue darted out to sweep across,his face.,GPT2
3866, i ca n't imagine anyone taking,a chance on me.,GPT2
3867,its easy to distinguish the,two.,GPT2
3868, but i remember that,i was in the middle of a fight with a guy who was a little older than me and he was trying to get me to stop fighting.,GPT2
3869," yeah , that",'s what I'm saying.,GPT2
3870,it was still going to be,a big deal.,GPT2
3871,"oraden asked , as tahir","ah said , ""What do you think of the new law?""""I think it's a good idea,"" said the man.",GPT2
3872,chapter three teddy gave up on,the idea of going to the zoo.,GPT2
3873, i bet you were n't picturing it,".""I'm not going to lie, I'm not going to lie,",GPT2
3874,"she was n't the type to trust blindly , and",she was a bit of a liar.,GPT2
3875,"she finally spotted the people , a group",of people who were all dressed in black and wearing black hoodies.,GPT2
3876,"and if you wo n't arrest him ,",you'll be fine.,GPT2
3877,no reason not to look,at the data.,GPT2
3878,"i 've got a shiny new covenant ,","'ve got a shiny new covenant , 've got a shiny new covenant ,",GPT2
3879,his brothers sat in chairs at his bedside,".""I'm sorry, but I'm not going to be able to do this,",GPT2
3880,"since there were still people about , she",said.,GPT2
3881,that is how the valkar get all of,their power).,GPT2
3882,hands reached and hefted her up in a,hug.,GPT2
3883,you said you were ready to,go.,GPT2
3884,"lauren , the taller older sister , had her",own story to tell.,GPT2
3885,"benny took a seat opposite her ,",and she was very happy to see her.,GPT2
3886,"it seemed a shame , that a man",who had been so good at his profession had been so bad at his profession.,GPT2
3887," thank you for that , '' he whispered",".''I'm sorry, but I'm not going to be able to do this anymore,",GPT2
3888,symptoms : intermittent spasms,", nausea, vomiting, diarrhea, and abdominal pain.",GPT2
3889,it 'll do for the time,being.,GPT2
3890,their numbers are growing so they are,going to be able to get a lot of money out of it.,GPT2
3891,"in theory , the only problem in fred",uction theory is that it is not possible to prove that the theory is true.,GPT2
3892,i clearly had to get that flute away from,him.,GPT2
3893,he wrapped them in plastic,wrap and placed them in a freezer for a few days.,GPT2
3894,i will wait until we 're,ready to go.,GPT2
3895,it was hard to make out the words,".""I'm sorry, but I'm not going to be able to do this anymore,",GPT2
3896,pete sat in the other chair and leaned,against the wall.,GPT2
3897,then they brought the tape back here to,show us the tape.,GPT2
3898,chomper snorted to remind,him that he was not the only one who had been affected.,GPT2
3899, i 'll do everything in my,power to make sure that I'm not going to be a victim of this.,GPT2
3900," visiting hours were over thirty minutes ago , ''","I'm not going to be able to do that,'' he said.",GPT2
3901,"though he was intimidating , and aloof",", and he was a bit of a jerk.",GPT2
3902,"self-contained deterioration , that was one of the",main reasons for the collapse of the Soviet Union.,GPT2
3903, there 's a space opened up in,the middle of the room.,GPT2
3904,even her uncle did not understand her request,".""I'm sorry, but I'm not going to be able to go to the hospital,",GPT2
3905, it 's nice,to have a little bit of a sense of humor.,GPT2
3906,she had never known a man who intrigued,her so much.,GPT2
3907,you get more and more,of them.,GPT2
3908,her body knew that voice,".""I'm sorry, but I'm not going to be able to do this anymore.""""I'm sorry,",GPT2
3909,"blackie crystal was impressed , even",though she was a little too young to be a girl.,GPT2
3910,"later , the family met","at the University of California, Berkeley, where he was a student.",GPT2
3911,you wait for the man because you got,a good one.,GPT2
3912,as he went to sit back down,and watch the game.,GPT2
3913,"lia : yep ,",I'm not sure if I'm going to be able to do it.,GPT2
3914,"even so , said melissastill consciously suppressing the",urge to be a good person.,GPT2
3915,how 'd you get in,"the way of the work?' """"I'm not sure what you mean by that,"" he said.",GPT2
3916, i very much like,the way I feel about the game.,GPT2
3917,then you can start injecting a bunch of,stuff into your code.,GPT2
3918,mary had been suffering,from a severe case of depression.,GPT2
3919,"lucy had been nervous ,",but she was not sure if she was going to be able to do it.,GPT2
3920,she attempted to search her uncles data files,", but was unable to find any.",GPT2
3921,instead of heading for the tunnel back to the,airport.,GPT2
3922,he 'd thanked them for treating the cats,well and said they were happy to help them out.,GPT2
3923,he must have some kind of sense to tell,me that he's not going to be able to do it.,GPT2
3924,"if so , it 's",not a valid argument.,GPT2
3925,i glanced up at lilia,", who was still staring at her.",GPT2
3926,i just want them,to be able to do that.,GPT2
3927, i want to come in your mouth,"and say,",GPT2
3928,my eyes flickered over the irregular dark stains,on the floor.,GPT2
3929,"i quickly text , i kissed him every","time he asked me to do something, and i was so happy when he asked me to do something.",GPT2
3930,i said as i pulled,out my phone.,GPT2
3931,"perlat cheil began , then stopped",".""I was just trying to get out of the car and get out of the car,",GPT2
3932,"cass moves to the kitchen while stating ,","""I'm going to make a sandwich.",GPT2
3933,so i roll my fingertips against my clit,and I feel my pussy being fucked.,GPT2
3934, see you in a bit,".I'm not sure if you've heard of the ""Crazy Cat"" or the ""Crazy Cat"" (or both). I'm not sure if you've heard of the ""Crazy Cat"" or",GPT2
3935,lucas ordered because no way was,there for him to get out of the car.,GPT2
3936,i watch as her eyes slowly turn red,".""I'm sorry, but I'm not going to be able to watch you.""""I'm sorry,",GPT2
3937,these kisses are worth a thousand,"words, and I'm sure you'll find them a lot more interesting than the ones you've read about.",GPT2
3938,you 're gon na blow me while you,'re in the shower' 'cause I'm gonna blow you up.,GPT2
3939,"when i got up again , you were",right.,GPT2
3940," we 're in trouble , '' father said",". ''I'm not going to let you go.''''I'm not going to let you go,",GPT2
3941,you were busy with the shuttle warrior project,", you were busy with the shuttle warrior project,",GPT2
3942,"but kayla robertson , her closest ,",and she is a very good swimmer.,GPT2
3943,i closed my eyes tightly trying not to,think about it.,GPT2
3944,i thought vojalie should be the one to tell,him.,GPT2
3945,red shirt and the other,two were wearing a black shirt and the other two were wearing a black shirt.,GPT2
3946,a nervous look settled in,her eyes.,GPT2
3947,the evening passes in,"the morning, and the evening passes in the afternoon.",GPT2
3948,go back to your,home country.,GPT2
3949,"i blinked , several long blinks , shaking my head",". ""I'm not sure what to do. I'm not sure what to do. I'm not sure what to do. I'm not sure what to do. I'm not sure what",GPT2
3950,"once again , i was in my chair","and I was like, ""What the hell is going on?"" and he said, ""I'm not sure what's going on.",GPT2
3951,within moments of his touch her body was,trembling.,GPT2
3952,"i scoured my mind , replaying our last",conversation.,GPT2
3953,they had detected no signs of the,virus in the blood of the victims.,GPT2
3954,mrs. pritchard huffed then took another sip,of his coffee.,GPT2
3955,but i see you lack trust,in me.,GPT2
3956,"his back was bare ,",and he was lying on the ground with his head down on the ground.,GPT2
3957," not without you ,",and I'm sure you'll be glad to hear that.,GPT2
3958,whoever had named this kind of nausea,"as a symptom of a disease, or a disease of the body,",GPT2
3959,"partially dry and with warm tea in my belly ,",I was able to get a good amount of moisture out of my tea.,GPT2
3960,my father always lost me when he started,to get sick.,GPT2
3961, it 's a high,#NAME?,GPT2
3962,mom cried and held,her head in her hands.,GPT2
3963,"when you were with her , it",was a very good time to be with her.,GPT2
3964,i 'd somehow made,me feel like I was in a different world.,GPT2
